,cost_rank,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,salty,vanilla,tart,fruity,floral
1032,1.0,0.0,0.0,90.0,50.0,50.0,70.0,70.0,60.0,10.0,70.0,20.0,60.0,60.0
1033,4.0,15.0,0.0,40.0,5.0,15.0,80.0,75.0,70.0,0.0,30.0,0.0,30.0,0.0
1034,3.0,20.0,0.0,90.0,40.0,50.0,70.0,80.0,60.0,50.0,90.0,0.0,60.0,0.0
1035,3.0,30.0,0.0,80.0,0.0,0.0,45.0,40.0,30.0,0.0,60.0,0.0,15.0,0.0
1036,4.0,5.0,0.0,30.0,0.0,15.0,80.0,80.0,70.0,0.0,40.0,20.0,50.0,0.0
1037,4.0,15.0,0.0,5.0,0.0,20.0,85.0,90.0,85.0,15.0,40.0,0.0,40.0,10.0
1038,3.0,20.0,0.0,80.0,50.0,0.0,80.0,70.0,40.0,20.0,30.0,40.0,80.0,70.0
1039,2.0,20.0,0.0,55.0,20.0,15.0,30.0,25.0,50.0,0.0,50.0,45.0,60.0,20.0
1040,3.0,15.0,0.0,0.0,0.0,10.0,85.0,80.0,85.0,5.0,35.0,0.0,25.0,0.0
1041,4.0,0.0,0.0,20.0,0.0,5.0,70.0,70.0,75.0,0.0,35.0,0.0,10.0,5.0
1042,5.0,0.0,0.0,70.0,20.0,10.0,40.0,70.0,60.0,20.0,50.0,10.0,70.0,20.0
1043,4.0,30.0,70.0,20.0,30.0,50.0,50.0,50.0,60.0,30.0,80.0,20.0,60.0,50.0
1044,5.0,53.0,0.0,81.0,61.0,74.0,79.0,81.0,73.0,46.0,70.0,54.0,77.0,68.0
1045,4.0,0.0,0.0,25.0,5.0,10.0,80.0,80.0,70.0,0.0,20.0,0.0,30.0,5.0
1046,3.0,30.0,25.0,0.0,0.0,0.0,70.0,70.0,80.0,0.0,20.0,0.0,25.0,10.0
1047,3.0,12.0,12.0,68.0,54.0,65.0,83.0,85.0,81.0,54.0,78.0,35.0,78.0,59.0
1048,4.0,15.0,0.0,50.0,70.0,30.0,65.0,65.0,40.0,10.0,30.0,30.0,40.0,0.0
1049,3.0,0.0,0.0,40.0,0.0,15.0,80.0,80.0,65.0,5.0,25.0,10.0,25.0,0.0
1050,3.0,0.0,0.0,35.0,10.0,15.0,80.0,80.0,65.0,0.0,20.0,15.0,25.0,0.0
1051,5.0,5.0,0.0,30.0,5.0,0.0,65.0,65.0,65.0,0.0,20.0,5.0,15.0,5.0
1052,3.0,20.0,0.0,40.0,30.0,40.0,70.0,70.0,70.0,40.0,70.0,40.0,70.0,30.0
1053,4.0,50.0,0.0,50.0,40.0,50.0,70.0,70.0,70.0,0.0,80.0,30.0,60.0,40.0
1054,3.0,30.0,30.0,5.0,20.0,0.0,50.0,50.0,60.0,10.0,10.0,5.0,20.0,15.0
1055,4.0,15.0,0.0,30.0,20.0,10.0,75.0,75.0,60.0,0.0,10.0,0.0,10.0,10.0
1056,4.0,45.0,40.0,5.0,20.0,10.0,60.0,60.0,50.0,10.0,15.0,10.0,5.0,0.0
1057,3.0,20.0,0.0,50.0,30.0,20.0,50.0,50.0,70.0,0.0,60.0,40.0,60.0,30.0
1058,3.0,30.0,0.0,60.0,70.0,20.0,50.0,50.0,50.0,10.0,30.0,40.0,50.0,40.0
1059,3.0,20.0,0.0,60.0,40.0,20.0,60.0,60.0,70.0,10.0,40.0,50.0,70.0,20.0
1060,4.0,5.0,0.0,30.0,5.0,0.0,70.0,70.0,70.0,0.0,20.0,0.0,30.0,10.0
1061,2.0,20.0,0.0,50.0,30.0,30.0,60.0,60.0,70.0,10.0,70.0,30.0,60.0,0.0
1062,4.0,15.0,0.0,25.0,0.0,10.0,65.0,65.0,75.0,0.0,25.0,0.0,20.0,15.0
1063,3.0,20.0,20.0,40.0,40.0,30.0,60.0,60.0,70.0,20.0,40.0,50.0,70.0,30.0
1064,3.0,0.0,0.0,65.0,0.0,0.0,60.0,60.0,80.0,0.0,20.0,0.0,25.0,0.0
1065,5.0,20.0,0.0,60.0,40.0,20.0,60.0,50.0,60.0,0.0,50.0,50.0,70.0,30.0
1066,5.0,20.0,0.0,70.0,30.0,30.0,70.0,70.0,80.0,0.0,60.0,30.0,70.0,50.0
1067,4.0,50.0,70.0,50.0,70.0,40.0,50.0,50.0,40.0,10.0,30.0,40.0,20.0,0.0
1068,5.0,30.0,0.0,70.0,40.0,20.0,70.0,80.0,70.0,20.0,60.0,20.0,80.0,50.0
1069,3.0,50.0,0.0,70.0,30.0,20.0,60.0,60.0,70.0,0.0,50.0,40.0,40.0,10.0
1070,2.0,60.0,0.0,40.0,20.0,30.0,60.0,60.0,70.0,0.0,70.0,20.0,40.0,20.0
1071,2.0,20.0,0.0,40.0,50.0,50.0,60.0,60.0,50.0,0.0,60.0,70.0,60.0,20.0
1072,4.0,50.0,50.0,90.0,40.0,40.0,60.0,60.0,70.0,40.0,40.0,50.0,60.0,30.0
1073,5.0,60.0,50.0,60.0,70.0,70.0,70.0,80.0,70.0,30.0,70.0,50.0,70.0,60.0
1074,4.0,20.0,0.0,50.0,30.0,40.0,50.0,50.0,50.0,10.0,30.0,40.0,80.0,60.0
1075,2.0,40.0,0.0,40.0,30.0,80.0,70.0,70.0,50.0,10.0,50.0,20.0,40.0,50.0
1076,2.0,60.0,60.0,60.0,30.0,40.0,70.0,70.0,40.0,50.0,60.0,30.0,30.0,20.0
1077,2.0,0.0,0.0,50.0,30.0,30.0,60.0,60.0,60.0,40.0,50.0,50.0,70.0,30.0
1078,3.0,60.0,0.0,50.0,20.0,60.0,70.0,70.0,60.0,0.0,60.0,40.0,70.0,50.0
1079,4.0,30.0,30.0,60.0,20.0,50.0,70.0,60.0,70.0,40.0,50.0,30.0,70.0,20.0
1080,3.0,60.0,60.0,60.0,40.0,50.0,60.0,70.0,60.0,40.0,60.0,30.0,70.0,40.0
1081,5.0,30.0,0.0,40.0,10.0,30.0,70.0,80.0,80.0,10.0,60.0,20.0,90.0,10.0
1082,4.0,40.0,40.0,50.0,30.0,40.0,70.0,60.0,70.0,60.0,50.0,30.0,70.0,70.0
1083,3.0,70.0,80.0,60.0,60.0,60.0,50.0,50.0,50.0,40.0,20.0,30.0,30.0,10.0
